Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",name,source,source_url
241,drowned,drowning or exhaustion related death,United,2012-06-08T00:00:00Z,2012,0,0,30,"drowned, overcrowded boat from Ahmetbeyli (TR) sank off Aegean coast, 46 survivors (Jun 8, 2012)",ahmetbeyli,37.99462,27.188235,"37.99462, 27.188235","Event at Ahmetbeyli on Jun 08, 2012",Reu/AFP/Le Monde/Migreurop/SP/MNS/FE,
242,drowned,drowning or exhaustion related death,United,2012-06-08T00:00:00Z,2012,0,0,64,"drowned, 1 found, 63 missing shipwreck near the island of Lampione (I) (Jun 8, 2012). From Del Grande's data set (translated): Shipwreck in Izmir on the route to the Greek Islands, 58 dead passengers (Sep 6, 2012)",izmir,38.41885,27.12872,"38.41885, 27.12872","Event at Izmir on Jun 08, 2012",MNS/FE/Migreurop,http://fortresseurope.blogspot.com/2012/09/turchia-naufragio-izmir-58-morti.html
243,drowned,drowning or exhaustion related death,United,2012-05-25T00:00:00Z,2012,0,0,20,"drowned, after an inflatable dinghy on way to Italy started to deflate off the coast of Lybia   (May 25, 2012). From Del Grande's data set (translated): At least 10 missing in the sea off the coast of Libya. Rescued by two merchant ships, the survivors were rejected (May 26, 2012)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on May 25, 2012",Migreurop/LRP,http://fortresseurope.blogspot.it/2012/05/10-dispersi-nel-canale-di-sicilia.html
244,drowned,drowning or exhaustion related death,United,2012-05-24T00:00:00Z,2012,0,0,10,"at least 10 people missing after dinghy from Libya to Italy capsized in the Sicilian Channel (May 24, 2012). From Del Grande's data set (translated): Found a corpse in the sea in front of the island of Streetlight, in Lampedusa (May 25, 2012)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 24, 2012",LR/Fe,http://fortresseurope.blogspot.it/2012/05/lampedusa-ritrovato-un-cadavere-in-mare.html
245,drowned,drowning or exhaustion related death,United,2012-05-24T00:00:00Z,2012,0,0,1,"body in advanced state of decomposition washed ashore off Lampione Island (I) (May 24, 2012)",lampione,35.551211,12.317398,"35.551211, 12.317398","Event at Lampione on May 24, 2012",FE/ANSA,
246,drowned,drowning or exhaustion related death,United,2012-05-18T00:00:00Z,2012,0,0,5,"drowned, after boat of 43 migrants sank off the coast of Mayotte (F) (May 18, 2012)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244","Event at Mayotte on May 18, 2012",Le Monde/AFP/Migreurop,
247,drowned,drowning or exhaustion related death,United,2012-05-06T00:00:00Z,2012,0,0,3,"drowned, shipwreck off Monastir (TN) on the way to Italy, border guards could save 22 (May 6, 2012). From Del Grande's data set (translated): Shipwreck off the coast of Monastir, recovered the bodies of three passengers in the boat directly in Sicily (Jul 6, 2012)",monastir,35.77718,10.8261,"35.77718, 10.8261","Event at Monastir on May 06, 2012",TNNum,http://fortresseurope.blogspot.it/2012/07/tunisia-naufragio-monastir-3-morti-in.html
248,drowned,drowning or exhaustion related death,United,2012-05-02T00:00:00Z,2012,0,0,1,"drowned, body found floating in Tajo-Segura Channel, in the town of Torre-Pacheco (E) (May 2, 2012)",torre,36.744421,-4.092531,"36.744421, -4.092531","Event at Torre on May 02, 2012",MUGAK/Raz,
249,drowned,drowning or exhaustion related death,United,2012-04-27T00:00:00Z,2012,0,0,1,"drowned, after being thrown off a boat of 80 by smugglers when a patrol boat approached (Apr 27, 2012). From Del Grande's data set (translated): Landing at Licata, Agrigento, a sixteen year old drowns Egyptian (Apr 28, 2012)",agrigento,37.31109,13.576548,"37.31109, 13.576548","Event at Agrigento on Apr 27, 2012",Migreurop/LRP,http://fortresseurope.blogspot.co.uk/2012/04/sicilia-sedicenne-annegato-in-uno.html
250,drowned,drowning or exhaustion related death,United,2012-04-25T00:00:00Z,2012,0,0,1,"drowned, after being thrown overboard by smugglers dozens of meters from Calabria s coast (Apr 25, 2012)",calabria,39.308771,16.346379,"39.308771, 16.346379","Event at Calabria on Apr 25, 2012",LR/Migreurop/PUCUM/FE,
251,drowned,drowning or exhaustion related death,United,2012-03-16T00:00:00Z,2012,0,0,1,"drowned while trying to cross Evros River to enter GR, body found in area of Nea Vissa (Mar 16, 2012)",evros,41.244376,26.135943,"41.244376, 26.135943","Event at Evros on Mar 16, 2012",PICUM/Age,
252,drowned,drowning or exhaustion related death,United,2012-03-14T00:00:00Z,2012,0,0,1,"drowned while trying to cross Evros River to enter GR, body found near river in area of Soufli (Mar 14, 2012)",evros,41.244376,26.135943,"41.244376, 26.135943","Event at Evros on Mar 14, 2012",PICUM,
253,drowned,drowning or exhaustion related death,United,2012-02-20T00:00:00Z,2012,0,0,1,"drowned while trying to enter Ceuta (E) by swimming along the coast from Morocco  (Feb 20, 2012). From Del Grande's data set (translated): The Moroccan police found the corpse of a drowned boy trying to bypass the border with Ceuta swimming (Feb 22, 2012)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Feb 20, 2012",MUGAK/ElDia,http://fortresseurope.blogspot.com/2012/02/ceuta-muore-tentando-di-passare-la.html
254,drowned,drowning or exhaustion related death,United,2012-02-02T00:00:00Z,2012,0,0,2,"drowned, bodies carrying life jacket found in the sea near the Bay of Melilla (E) (Feb 2, 2012). From Del Grande's data set (translated): Found at the entrance of the port of Melilla, the bodies of two young men drowned (Mar 2, 2012)",melilla,35.292278,-2.938097,"35.292278, -2.938097","Event at Melilla on Feb 02, 2012",MUGAK/Raz/Diario de Noticias/ElDia/SUR/VDG,http://fortresseurope.blogspot.com/2012/03/spagna-morti-annegati-2-ragazzi-melilla.html
255,drowned,drowning or exhaustion related death,Del grande,2012-12-14T00:00:00Z,2012,0,0,27,"Shipwreck in the waters of the island of Lesvos, Eastern Aegean, 20 people die, 7 others were scattered at sea (Dec 15, 2012)",lesvos,39.16408,26.372171,"39.16408, 26.372171","Event at Lesvos on Dec 14, 2012",Ekathimerini,http://www.repubblica.it/esteri/2012/12/15/news/grecia_naufraga_barcone_di_migranti_sedici_morti_e_undici_dispersi-48800854/?ref=search
256,drowned,drowning or exhaustion related death,Del grande,2012-12-12T00:00:00Z,2012,0,0,1,"During a chase at sea in the Canary Islands, off the coast of Lanzarote, the Spanish coast guard patrol boat of ramming a boat with 25 passengers on board, causing 1 dead and 7 missing (Dec 13, 2012)",lanzarote,29.046854,-13.589973,"29.046854, -13.589973","Event at Lanzarote on Dec 12, 2012",El Pais,http://politica.elpais.com/politica/2012/12/13/actualidad/1355400561_102722.html
257,drowned,drowning or exhaustion related death,Del grande,2012-11-08T00:00:00Z,2012,0,0,3,"The Spanish Coast Guard has suspended the search for 3 missing in the Strait of Gibraltar off the coast of Tarifa (Nov 9, 2012)",tarifa,36.018776,-5.600819,"36.018776, -5.600819","Event at Tarifa on Nov 08, 2012",Abc,http://fortresseurope.blogspot.it/2012/11/spagna-sospese-ricerche-di-3-dispersi.html
258,drowned,drowning or exhaustion related death,Del grande,2012-11-08T00:00:00Z,2012,0,0,1,"A merchant ship passing through the Strait of Gibraltar, has rescued the lifeless body of a young boy drowned in the crossing to Spain, 12 miles southwest of Tarifa (Nov 9, 2012)",tarifa,36.018776,-5.600819,"36.018776, -5.600819","Event at Tarifa on Nov 08, 2012",Sur,http://fortresseurope.blogspot.it/2012/11/spagna-recuperato-un-cadavere-al-largo.html
259,drowned,drowning or exhaustion related death,Del grande,2012-11-06T00:00:00Z,2012,0,0,1,"The sea of __Lampedusa returns the lifeless body of a boy, perhaps one of the passengers of the boat wrecked off the island in September (Nov 7, 2012)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Nov 06, 2012",Ansa,http://fortresseurope.blogspot.it/2012/11/lampedusa-trovato-un-altro-cadavere.html
260,drowned,drowning or exhaustion related death,Del grande,2012-11-05T00:00:00Z,2012,0,0,89,"At least 89 travelers drowned in the waters of the Strait of Gibraltar in the week between October 26 and November 6, 2012, of which 31 are from Senegal. The figures were released by the Moroccan authorities. Six survivors landed in Spain have reported seeing others die 54 passengers vessel. Nineteen dead bodies were found in Tangier in addition to the 14 dead found from Rescue Maritimo on October 26 and the other two bodies fished out by the Spanish authorities the next day (Nov 6, 2012)",tangier,35.766667,-5.8,"35.766667, -5.8","Event at Tangier on Nov 05, 2012",MUA,http://fortresseurope.blogspot.it/2012/11/marocco-89-morti-in-una-settimana-nello.html
261,drowned,drowning or exhaustion related death,Del grande,2012-11-04T00:00:00Z,2012,0,0,1,"Found the lifeless body of a young boy drowned in the sea of __Ceuta, after he tried to swim to the Spanish enclave (Nov 5, 2012)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Nov 04, 2012",La Voz de Galicia,http://fortresseurope.blogspot.it/2012/11/spagna-un-30enne-morto-annegato-ceuta.html
262,drowned,drowning or exhaustion related death,Del grande,2012-11-03T00:00:00Z,2012,0,0,11,"Shipwreck on the route to Lampedusa, 35 miles north of the Libyan coast. Recovered the bodies of 11 passengers drowned (Nov 4, 2012)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Nov 03, 2012",Ansa,http://fortresseurope.blogspot.it/2012/11/libia-11-morti-140-miglia-sud-di.html
263,drowned,drowning or exhaustion related death,Del grande,2012-10-28T00:00:00Z,2012,0,0,2,"In recent weeks the fishermen of Lampedusa have found two bodies in the sea. It is the missing of the sinking of September 6, 8 dead bodies have so far been fished out (Oct 29, 2012)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Oct 28, 2012",Giornale di Sicilia,http://fortresseurope.blogspot.it/2012/10/lampedusa-i-pescatori-trovano-2.html
264,drowned,drowning or exhaustion related death,United,2012-10-24T00:00:00Z,2012,0,0,54,"drowned, 14 found, 40 missing, boat to E sunk off Al Huceima (MA), Frontex did not rescue (Oct 24, 2012). From Del Grande's data set (translated): Shipwreck in the Alboran Sea, off the coast of Al Hoceima. Recovered 14 bodies, other 4 passengers are dispersed (Oct 26, 2012)",Al Huceima,35.249299,-3.937112,"35.249299, -3.937112","Event at Al Huceima on Oct 24, 2012",FFM/Acoge/FE/Que/VK,http://fortresseurope.blogspot.it/2012/10/spagna-14-morti-e-4-dispersi-in-un.html
265,drowned,drowning or exhaustion related death,United,2012-10-22T00:00:00Z,2012,0,0,1,"drowned, body washed ashore off Punta Almina (E) reportedly fell into the sea way from MA (Oct 22, 2012). From Del Grande's data set (translated): Recovered the corpse of a young man drowned off the coast of Punta Almina, in southern Spain (Oct 23, 2012)",punta,28.569022,-16.324539,"28.569022, -16.324539","Event at Punta on Oct 22, 2012",ABC/FE,http://fortresseurope.blogspot.it/2012/10/spagna-ripescato-un-cadavere-punta.html
266,drowned,drowning or exhaustion related death,Del grande,2012-10-09T00:00:00Z,2012,0,0,5,"Shipwreck in Melilla. Recovered the body of a 4 year old girl on the beach Galapagos. Remain missing 1 child and 3 women (Oct 10, 2012)",melilla,35.292278,-2.938097,"35.292278, -2.938097","Event at Melilla on Oct 09, 2012",Diario Sur,http://fortresseurope.blogspot.it/2012/10/spagna-naufragio-melilla-muore-una.html
267,drowned,drowning or exhaustion related death,United,2012-01-24T00:00:00Z,2012,0,0,55,"drowned, after their vessel of 55 migrants sank, bodies found off the coast of Misrata (LY) (Jan 24, 2012). From Del Grande's data set (translated): 15 corpses found in the waters between Zliten and Misrata after the wreck last week, still lost at sea 40 of the 55 passengers (Jan 28, 2012)",misrata,32.374298,15.09492,"32.374298, 15.09492","Event at Misrata on Jan 24, 2012",MNS,http://fortresseurope.blogspot.com/2012/01/libia-ritrovati-15-corpi-dopo-il.html
268,drowned,drowning or exhaustion related death,Del grande,2012-01-19T00:00:00Z,2012,0,0,4,"Found the bodies of four people drowned in Nador and Melilla trying to swim across the border with the Spanish enclave of Melilla, Morocco (Jan 20, 2012)",melilla,35.292278,-2.938097,"35.292278, -2.938097","Event at Melilla on Jan 19, 2012",Abcds,http://fortresseurope.blogspot.com/2012/01/marocco-4-ragazzi-annegati-tra-nador-e.html
269,drowned,drowning or exhaustion related death,Del grande,2012-01-09T00:00:00Z,2012,0,0,1,"Found the body of a young man drowned trying to swim around the border of Melilla, the Spanish enclave in Morocco, at the height of Horcas Coloradas (Jan 10, 2012)",melilla,35.292278,-2.938097,"35.292278, -2.938097","Event at Melilla on Jan 09, 2012",Sur,http://fortresseurope.blogspot.com/2012/01/melilla-ritrovato-un-cadavere-horcas.html
270,drowned,drowning or exhaustion related death,United,2012-01-03T00:00:00Z,2012,0,0,1,"drowned,reaching rescue ship; on boat on way LY-I.Was Olympia athlete facing death threats (Jan 3, 2012)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on Jan 03, 2012",BBC/Gulf/SP/WIK/IlMess,
271,drowned,drowning or exhaustion related death,United,2012-01-03T00:00:00Z,2012,0,0,6,"drowned, reaching rescuing ship after boat from LY run out of petrol in Sicilian Channel (I) (Jan 3, 2012)",sicily,37.599994,14.015356,"37.599994, 14.015356","Event at Sicily on Jan 03, 2012",BBC,
272,drowned,drowning or exhaustion related death,Del grande,2011-09-22T00:00:00Z,2011,0,0,3,"Shipwreck in the Ionian Sea on the route for Calabria, off the island of Zakynthos, 3 dead (Sep 23, 2011)",calabria,39.308771,16.346379,"39.308771, 16.346379","Event at Calabria on Sep 22, 2011",Clandestina,http://fortresseurope.blogspot.com/2011/09/ancora-una-strage-su-una-delle-rotte.html
273,drowned,drowning or exhaustion related death,Del grande,2011-09-20T00:00:00Z,2011,0,0,4,"The lifeless bodies of four men have surfaced from the sea along the coast of Izmir, Seferihisar, on the route to the Greek island of Samos. The number of missing unknown shipwreck (Sep 21, 2011)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Sep 20, 2011",Today Zaman,http://fortresseurope.blogspot.com/2011/09/turchia-naufragio-sulla-rotta-per-samos.html
274,drowned,drowning or exhaustion related death,United,2011-09-13T00:00:00Z,2011,0,0,1,"drowned, pushed off jetski when smuggler saw coastguards approaching in Andalusia (E) (Sep 13, 2011)",andalusia,37.544271,-4.727753,"37.544271, -4.727753","Event at Andalusia on Sep 13, 2011",Sur/Mugak,http://medios.mugak.eu/noticias/noticia/291089
275,drowned,drowning or exhaustion related death,Del grande,2011-09-12T00:00:00Z,2011,0,0,17,"17 guys are missing the left from a beach Benazzouz, in Skikda, on August 17 and to Sardinia. Their boat was found empty in Bejaia, where it was carried by the current (Sep 13, 2011)",skikda,36.866667,6.9,"36.866667, 6.9","Event at Skikda on Sep 12, 2011",El Watan,http://fortresseurope.blogspot.com/2011/09/algeria-2-harraga-morti-e-15-dispersi.html
276,drowned,drowning or exhaustion related death,Del grande,2011-09-05T00:00:00Z,2011,0,0,1,"Ceuta, found harbor in the body of a young man drowned trying to embark secretly on a ferry to Spain, to the Muelle Pier 4 Given Caonero (Sep 6, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Sep 05, 2011",Apdha,http://docs.google.com/viewer?url=http://www.apdha.org/media/FronteraSur2012.pdf
277,drowned,drowning or exhaustion related death,Del grande,2011-09-02T00:00:00Z,2011,0,0,19,"4 dead, 15 missing in a shipwreck in the Ionian Sea on the route for Calabria, off the island of Kefalonia (Sep 3, 2011)",calabria,39.308771,16.346379,"39.308771, 16.346379","Event at Calabria on Sep 02, 2011",Clandestina,http://fortresseurope.blogspot.com/2011/09/ionio-4-morti-e-15-dispersi-al-largo-di.html
278,drowned,drowning or exhaustion related death,Del grande,2011-09-01T00:00:00Z,2011,0,0,14,"Lost at sea 14 boys aged between 18 and 25 years, all of the province of El-Amria. They had left from a beach of Ain Tmouchent, full ramadan to the Spanish coast (Sep 2, 2011)","Ain Tmouchent, algeria",35.30241,-1.14489,"35.30241, -1.14489","Event at Ain Tmouchent, Algeria on Sep 01, 2011",El Watan,http://fortresseurope.blogspot.com/2011/09/algeria-14-ragazzi-dispersi-sulla-rotta.html
279,drowned,drowning or exhaustion related death,Del grande,2011-08-30T00:00:00Z,2011,0,0,1,"Almeria found the lifeless body of a drowning man drowned during the crossing (Aug 31, 2011)",almeria,36.834047,-2.463714,"36.834047, -2.463714","Event at Almeria on Aug 30, 2011",Apdha,http://docs.google.com/viewer?url=http://www.apdha.org/media/FronteraSur2012.pdf
280,drowned,drowning or exhaustion related death,Del grande,2011-08-18T00:00:00Z,2011,0,0,2,"Fall in the water during the crossing to Lampedusa, lost at sea 2 boys Tunisians (Aug 19, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Aug 18, 2011",Adnkronos,http://fortresseurope.blogspot.com/2011/08/dispersi-in-mare-2-tunisini-nuova.html
281,drowned,drowning or exhaustion related death,Del grande,2011-08-13T00:00:00Z,2011,0,0,3,"A dinghy flips off the island of Marettimo (Tr), 3 missing in sea (Aug 14, 2011)",marettimo,37.973976,12.054691,"37.973976, 12.054691","Event at Marettimo on Aug 13, 2011",Ansa,http://fortresseurope.blogspot.com/2011/08/marettimo-3-ragazzi-tunisini-dispersi.html
282,drowned,drowning or exhaustion related death,United,2011-07-28T00:00:00Z,2011,0,0,30,"unknown, bodies found on boat, engine failed after leaving Alexandria (Egypt) 1 week before (Jul 28, 2011). From Del Grande's data set (translated): Massacre at sea en route from Egypt that leads to the eastern coast of Sicily. The Egyptian Coast Guard has rescued the lifeless bodies of 30 boys drowned off the coast of Alexandria (Jul 29, 2011)",alexandria,31.200092,29.918739,"31.200092, 29.918739","Event at Alexandria on Jul 28, 2011",FE/Libero,http://fortresseurope.blogspot.com/2011/07/egitto-strage-in-mare-sulla-rotta-per.html
283,drowned,drowning or exhaustion related death,United,2011-07-11T00:00:00Z,2011,0,0,54,"missing, after having tried to reach Ceuta (E) from Moroccan coast by swimming (Jul 11, 2011). From Del Grande's data set (translated): Boat with 53 passengers rescued off the coast of Dar Kebdani, en route to Spain. On board 4 deaths, a fifth person is lost at sea (Dec 6, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Jul 11, 2011",Ansamed,http://fortresseurope.blogspot.com/2011/12/marocco-4-morti-e-1-disperso-sulla.html
284,drowned,drowning or exhaustion related death,United,2011-06-24T00:00:00Z,2011,0,0,45,"feared drowned, fell from a boat found neat Motril, Granada (E), 2nd boat still missing (Jun 24, 2011). From Del Grande's data set (translated): Passengers rescued from a boat off the coast of the Alboran, Andalusia, speak of 6 passengers fell into the water during the crossing, including a child, and a second boat from Morocco game with 40 people on board, but for which you are untraceable. After 48 hours of searching, the Spanish coast guard fished a corpse in the same stretch of sea (Jun 25, 2011)","Motril, Granada",36.748374,-3.516861,"36.748374, -3.516861","Event at Motril, Granada on Jun 24, 2011",FE/PICUM/Diario de Navarra,http://fortresseurope.blogspot.com/2011/06/ricerche-sospese.html
285,drowned,drowning or exhaustion related death,United,2011-06-24T00:00:00Z,2011,0,0,1,"drowned, body found 4 miles from capsized boat in Motril coast, Granada (E) (Jun 24, 2011)",granada,37.177336,-3.598557,"37.177336, -3.598557","Event at Granada on Jun 24, 2011",FE/PICUM/Diario de Navarra,
286,drowned,drowning or exhaustion related death,United,2011-06-11T00:00:00Z,2011,0,0,1,"drowned, fell from a stricken vessel of 53 migrants then rescued off Moroccan coast (Jun 11, 2011)",morocco,31.791702,-7.09262,"31.791702, -7.09262","Event at Morocco on Jun 11, 2011",FE,
287,drowned,drowning or exhaustion related death,Del grande,2011-06-11T00:00:00Z,2011,0,0,1,"Ceuta, which was found on the beach Calamocarro the lifeless body of a young boy drowned trying to swim to enter the Spanish enclave in Morocco (Jun 12, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Jun 11, 2011",Apdha,http://docs.google.com/viewer?url=http://www.apdha.org/media/FronteraSur2012.pdf
288,drowned,drowning or exhaustion related death,United,2011-06-04T00:00:00Z,2011,0,0,45,"drowned, 13 found, 32 missing, boat of 600 sank off coasts near Tripoli (LY) on the way to I (Jun 4, 2011)",tripoli,32.876174,13.187507,"32.876174, 13.187507","Event at Tripoli on Jun 04, 2011",LR,
289,drowned,drowning or exhaustion related death,United,2011-06-04T00:00:00Z,2011,0,0,3,"drowned after boat of 600 sank off the coasts near to Tripoli (LY) on the way to I (Jun 4, 2011). From Del Grande's data set (translated): Wreck in front of the harbor of Tripoli. A boat with 600 passengers on board capsized at sea shortly after left the port of Tripoli to Lampedusa. According to Somali sources, there would be at least 16 dead and 32 missing (May 6, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 04, 2011",LR,http://fortresseurope.blogspot.com/2011/05/naufagio-tripoli-16-morti-e-32-dispersi.html
290,drowned,drowning or exhaustion related death,Del grande,2011-06-04T00:00:00Z,2011,0,0,26,"Fished in the waters of the island of Kerkennah the lifeless bodies of 26 passengers of the old fishing boat sank three days earlier on the route to Lampedusa (Jun 5, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 04, 2011",Ansa,http://fortresseurope.blogspot.com/2011/06/tunisia-il-mare-ha-restituito-26.html
291,drowned,drowning or exhaustion related death,United,2011-06-03T00:00:00Z,2011,0,0,220,"missing, part of 325 migrants on LY-I boat, sank 39 miles from Lampedusa in Maltese waters (Jun 3, 2011). From Del Grande's data set (translated): Boat capsizes at sea during a rescue operation because of the stormy sea, 39 miles off Lampedusa. Scattered at sea at least 213 people, including many women and children (Apr 7, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 03, 2011",LR/ANSA/Reu/Migreurop/Raz/Mail Online/Irish Times/MSN/ABC/ELC/EP/Gara.net/LV/Verdad/DiarioVasco/Aljazeera/AVUI/PICUM/MUGAK/PerCat/LV/ELM,http://fortresseurope.blogspot.com/2011/04/strage-lampedusa-250-annegati-in-mare.html
292,drowned,drowning or exhaustion related death,United,2011-06-02T00:00:00Z,2011,0,0,18,"drowned, 3 found, 15 missing, jumped off LY-GR ship in Souda (GR) during repatriation (Jun 2, 2011). From Del Grande's data set (translated): Found in Crete, the bodies of 13 of Bangladeshis reported missing after being thrown overboard from the ship that they had been evacuated en masse from Libya to avoid deportation (Mar 16, 2011)",crete,35.240117,24.809269,"35.240117, 24.809269","Event at Crete on Jun 02, 2011",KI/MNS,http://fortresseurope.blogspot.com/2011/03/grecia-ritrovati-i-corpi-senza-vita-dei.html
293,drowned,drowning or exhaustion related death,United,2011-05-31T00:00:00Z,2011,0,0,2,"drowned, bodies found in Evros River trying to cross GR-TR border (May 31, 2011). From Del Grande's data set (translated): Found the bodies of two men drowned trying to cross the Evros River, which marks the border between Turkey and Greece (Jan 7, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943","Event at Evros on May 31, 2011",FE/AFP,http://fortresseurope.blogspot.com/2011/01/grece-deux-migrants-meurent-noyes-la.html
294,drowned,drowning or exhaustion related death,United,2011-05-28T00:00:00Z,2011,0,0,4,"drowned, bodies missing, boat collided with other boat off Libya s shore on the way to Italy (May 28, 2011)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on May 28, 2011",FE/ilClandestino,
295,drowned,drowning or exhaustion related death,United,2011-05-21T00:00:00Z,2011,0,0,1,"drowned, decomposed body found by Cabo de Gata (E), probably from 5/5/11 shipwreck (May 21, 2011). From Del Grande's data set (translated): Fished out the body of a woman seven miles off the coast of Cabo de Gata, could be one of the winds dispersed the sinking of the beginning of May in front of Cabo de Sacratif (May 22, 2011)",sacratif,36.695639,-3.465102,"36.695639, -3.465102","Event at Sacratif on May 21, 2011",ABC/Mugak,http://fortresseurope.blogspot.com/2011/05/spagna-ripescato-un-cadavere-cabo-de.html
296,drowned,drowning or exhaustion related death,Del grande,2011-05-20T00:00:00Z,2011,0,0,330,"An eyewitness report: 320 lost at sea on the night of 28 April 2011, after the shipwreck off the coast of Zuwara a direct boat to Lampedusa. Another dozen or so passengers on a second boat fell into the sea and drowned during the same night, because of the storm (May 21, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 20, 2011",Fortress Europe,http://fortresseurope.blogspot.com/2011/05/il-naufragio-fantasma-un-testimone-320.html
297,drowned,drowning or exhaustion related death,Del grande,2011-05-18T00:00:00Z,2011,0,0,3,"Shipwreck in Preveza, on the route to Italy. Rescued at sea two corpses, including that of a child of eight years. Lost at sea another child (May 19, 2011)",preveza,38.959265,20.751716,"38.959265, 20.751716","Event at Preveza on May 18, 2011",Kathimerini,http://fortresseurope.blogspot.com/2011/05/grecia-naufragio-sulla-rotta-per.html
298,drowned,drowning or exhaustion related death,Del grande,2011-05-18T00:00:00Z,2011,0,0,3,"Three drowned in Mazara del Vallo, Trapani, when the captain of a boat which then took over the wide, has forced 17 passengers to jump into the sea and Tunisians continue to swim to the shore (May 19, 2011)",vallo,42.434479,9.137443,"42.434479, 9.137443","Event at Vallo on May 18, 2011",Ansa,http://fortresseurope.blogspot.com/2011/05/sicilia-un-morto-e-due-dispersi-mazara.html
299,drowned,drowning or exhaustion related death,Del grande,2011-05-15T00:00:00Z,2011,0,0,1,"Recovered 40 miles off the coast of Motril the lifeless body of a drowning (May 16, 2011)",motril,36.748374,-3.516861,"36.748374, -3.516861","Event at Motril on May 15, 2011",Apdha,http://docs.google.com/viewer?url=http://www.apdha.org/media/FronteraSur2012.pdf
300,drowned,drowning or exhaustion related death,Del grande,2011-05-10T00:00:00Z,2011,0,0,58,"The Tunisian government admits: during the month of April, were found the bodies of 58 boys Tunisians drowned en route to Lampedusa. The findings have occurred along the beaches of Skhira, Chaffar, Kerkennah, Gabes, Djerba and Mahdia (May 11, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 10, 2011",Ansamed,http://fortresseurope.blogspot.com/2011/05/tunisia-58-morti-4-motovedette-e-800.html
301,drowned,drowning or exhaustion related death,Del grande,2011-05-10T00:00:00Z,2011,0,0,5,"One of the passengers of a vessel arrived in Lampedusa complaint: 5 people thrown into the sea as human sacrifices to ward off the bad weather (May 11, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 10, 2011",Ansa,http://fortresseurope.blogspot.com/2011/05/gettati-in-mare-per-sacrifici-umani.html
302,drowned,drowning or exhaustion related death,Del grande,2011-05-09T00:00:00Z,2011,0,0,17,"Lost at sea from a boat game Metline and live in Pantelleria, with 17 children on board the Cap Zebib (May 10, 2011)",pantelleria,36.828221,11.940496,"36.828221, 11.940496","Event at Pantelleria on May 09, 2011",Fortress Europe,http://fortresseurope.blogspot.com/2011/05/tunisia-naufragio-metline-17-dispersi.html
303,drowned,drowning or exhaustion related death,,2011-05-08T05:00:00Z,2011,0,600,600,An overcrowded boat broke apart shortly after leaving Tripoli en route to Italy.,"Tripoli, Libya",32.882937,13.188336,"32.882937, 13.188336","Off the coast of Tripoli on May 9, 2011",AP,http://www.huffingtonpost.com/2011/05/09/libya-boat-sinks-migrants_n_859440.html
304,drowned,drowning or exhaustion related death,Del grande,2011-05-08T00:00:00Z,2011,0,0,3,"Found three bodies among the rocks of Punta Sword, in Lampedusa, where yesterday a boat ran aground with 528 passengers on board (May 9, 2011)",Lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 08, 2011",Ansa,http://fortresseurope.blogspot.com/2011/05/lampedusa-recuperati-tre-cadaveri-tra.html
305,drowned,drowning or exhaustion related death,Del grande,2011-05-08T00:00:00Z,2011,0,0,24,"Suspended the search for victims of the sinking of Almeria on May 6. The budget is 4 dead, including two children, and 20 missing (May 9, 2011)",almeria,36.834047,-2.463714,"36.834047, -2.463714","Event at Almeria on May 08, 2011",Europa Press,http://fortresseurope.blogspot.com/2011/05/almeria-sospese-le-ricerche-dei.html
